13:46:05.019 mail-to-zentao-demo [main] INFO  com.vst.MailToZentaoDemoApplication - Starting MailToZentaoDemoApplication on DESKTOP-3HP5354 with PID 1096 (D:\workspace_2\mail-to-zentao-demo\target\classes started by V in D:\workspace_2\mail-to-zentao-demo)
13:46:05.026 mail-to-zentao-demo [main] INFO  com.vst.MailToZentaoDemoApplication - The following profiles are active: application-dev.yml
13:46:05.070 mail-to-zentao-demo [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1ecee32c: startup date [Fri Jun 28 13:46:05 CST 2019]; root of context hierarchy
13:46:05.447 mail-to-zentao-demo [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.vst.mapper]' package. Please check your configuration.
13:46:05.501 mail-to-zentao-demo [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.vst]' package. Please check your configuration.
13:46:05.871 mail-to-zentao-demo [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'timerTask': Unsatisfied dependency expressed through field 'mailService'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.vst.service.MailService' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
13:46:05.878 mail-to-zentao-demo [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
13:46:06.151 mail-to-zentao-demo [main] ERROR o.s.b.d.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Field mailService in com.vst.task.TimerTask required a bean of type 'com.vst.service.MailService' that could not be found.


Action:

Consider defining a bean of type 'com.vst.service.MailService' in your configuration.

13:47:44.583 mail-to-zentao-demo [main] INFO  com.vst.MailToZentaoDemoApplication - Starting MailToZentaoDemoApplication on DESKTOP-3HP5354 with PID 24508 (D:\workspace_2\mail-to-zentao-demo\target\classes started by V in D:\workspace_2\mail-to-zentao-demo)
13:47:44.589 mail-to-zentao-demo [main] INFO  com.vst.MailToZentaoDemoApplication - The following profiles are active: application-dev.yml
13:47:44.637 mail-to-zentao-demo [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6b00f608: startup date [Fri Jun 28 13:47:44 CST 2019]; root of context hierarchy
13:47:44.905 mail-to-zentao-demo [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.vst.mapper]' package. Please check your configuration.
13:47:44.940 mail-to-zentao-demo [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.vst]' package. Please check your configuration.
13:47:46.086 mail-to-zentao-demo [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
13:47:46.087 mail-to-zentao-demo [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
13:47:46.091 mail-to-zentao-demo [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
13:47:46.101 mail-to-zentao-demo [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
13:47:46.163 mail-to-zentao-demo [main] INFO  com.vst.MailToZentaoDemoApplication - Started MailToZentaoDemoApplication in 2.05 seconds (JVM running for 2.975)
13:51:08.340 mail-to-zentao-demo [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
13:51:08.340 mail-to-zentao-demo [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@6b00f608: startup date [Fri Jun 28 13:47:44 CST 2019]; root of context hierarchy
13:51:08.342 mail-to-zentao-demo [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
13:51:08.342 mail-to-zentao-demo [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans
13:51:13.867 mail-to-zentao-demo [main] INFO  com.vst.MailToZentaoDemoApplication - Starting MailToZentaoDemoApplication on DESKTOP-3HP5354 with PID 23196 (D:\workspace_2\mail-to-zentao-demo\target\classes started by V in D:\workspace_2\mail-to-zentao-demo)
13:51:13.873 mail-to-zentao-demo [main] INFO  com.vst.MailToZentaoDemoApplication - The following profiles are active: application-dev.yml
13:51:13.918 mail-to-zentao-demo [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@70ab2d48: startup date [Fri Jun 28 13:51:13 CST 2019]; root of context hierarchy
13:51:14.172 mail-to-zentao-demo [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.vst.mapper]' package. Please check your configuration.
13:51:14.204 mail-to-zentao-demo [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.vst]' package. Please check your configuration.
13:51:14.937 mail-to-zentao-demo [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
